"Genus_Species","Sex","brain_mass","body_mass"
"Accipiter_gentilis","f",7.68614285714286,1049.15714285714
"Accipiter_gentilis","m",7.6185,678.283333333333
"Accipiter_nisus","f",3.11279746835443,252.126329113924
"Accipiter_nisus","m",2.63739024390244,136.144146341463
"Accipiter_striatus","f",5.7,520
"Acridotheres_cristatellus","m",2.31,122.38
"Acridotheres_grandis","m",3.386,176.81
"Acrocephalus_arundinaceus","m",0.87,23.95
"Acrocephalus_palustris","f",0.448,11.91
"Acrocephalus_scirpaceus","m",0.468,12.56
"Acrocephalus_stentoreus","f",0.73,19.75
"Acryllium_vulturinum","m",4.7,2000
"Actinodura_ramsayi","m",1.295,36.25
"Actitis_macularius","m",0.642,34.49
"Actophilornis_africanus","m",1.35,88
"Aegithalos_caudatus","f",0.4335,7.045
"Aegithalos_caudatus","m",2.1956,7.304
"Aegithalos_caudatus","unknown",0.455,8.535
"Aegithalos_concinnus","f",0.307,4.23
"Aegithalos_concinnus","m",0.38,5.2
"Aegolius_funereus","f",4.257,137.33
"Aethia_pusilla","m",1.107,83.17
"Agapornis_lilianae","f",1.3,31.075
"Agapornis_lilianae","m",1.4,26
"Agapornis_taranta","f",1.807,46.18
"Agapornis_taranta","m",1.9375,48.09
"Agelaius_phoeniceus","unknown",1.77,66
"Aix_galericulata","m",3.589,518
"Aix_galericulata","unknown",4.22,299
"Aix_sponsa","m",3.9985,461.345
"Alauda_arvensis","f",0.847666666666667,38.27
"Alauda_arvensis","m",0.943555555555556,40.6088888888889
"Alauda_arvensis","unknown",0.7,21.9
"Alca_torda","f",5.0015,670.3
"Alca_torda","unknown",4.85,833.2
"Alcedo_atthis","f",0.800866666666667,39.2953333333333
"Alcedo_atthis","m",0.786875,37.19125
"Alcedo_atthis","unknown",0.65,36.5
"Alcedo_cristata","f",0.29,13.15
"Alcedo_cristata","m",0.37,9.775
"Alectoris_barbara","m",2.013,184.84
"Alectoris_chukar","m",2.232,471.44
"Alectoris_graeca","f",2.38,196
"Alectoris_philbyi","m",2.154,355.25
"Alectoris_rufa","f",1.919,391.225
"Alisterus_amboinensis","f",4.1155,202.85
"Alisterus_amboinensis","m",4.3745,176.78
"Alisterus_chloropterus","m",3.98,106.8
"Alisterus_scapularis","f",3.83914285714286,168.53
"Alisterus_scapularis","m",4.65255555555556,181.606666666667
"Alle_alle","f",1.84716666666667,123.753333333333
"Alle_alle","m",1.99942857142857,121.695714285714
"Alopochen_aegyptiaca","f",7.64,1935
"Amadina_erythrocephala","m",0.708,20.51
"Amandava_amandava","f",0.45,6.2
"Amandava_amandava","m",0.47,5.95
"Amazilia_tzacatl","f",0.1998,4.8
"Amazona_aestiva","f",6.98,203
"Amazona_aestiva","m",7.90828571428571,363.19
"Amazona_albifrons","f",5.736,219.22
"Amazona_albifrons","m",4.69,129
"Amazona_amazonica","f",7.6355,312.27
"Amazona_amazonica","m",8.55333333333333,328.766666666667
"Amazona_auropalliata","f",8.407,501
"Amazona_autumnalis","f",7.375,352.98
"Amazona_brasiliensis","f",7.4585,303.16
"Amazona_farinosa","f",10.133,508.65
"Amazona_festiva","m",6.753,338.86
"Amazona_finschi","f",7.55,205
"Amazona_finschi","m",7.9995,310.88
"Amazona_leucocephala","f",5.9965,274.49
"Amazona_leucocephala","m",6.21,220.25
"Amazona_leucocephala","unknown",6.82,225.7
"Amazona_ochrocephala","f",8.39475,388.13
"Amazona_ochrocephala","m",8.654,379.61
"Amazona_ochrocephala","unknown",9.03272727272727,292.990909090909
"Amazona_pretrei","f",4.995,254.9
"Amazona_pretrei","m",5.646,244.31
"Amazona_ventralis","f",5.83233333333333,187.456666666667
"Amazona_vinacea","f",6.674,310.306666666667
"Amazona_vinacea","m",8.267,293.29
"Amazona_viridigenalis","m",6.765,210.65
"Ammoperdix_griseogularis","f",1.098,135.64
"Ammoperdix_griseogularis","m",1.208,153.8
"Anas_acuta","f",4.9548,670
"Anas_acuta","m",5.241,1480
"Anas_crecca","f",3.183,278.8
"Anas_crecca","m",2.90466666666667,347.388333333333
"Anas_crecca","unknown",3.18333333333333,179.666666666667
"Anas_penelope","m",4.1612,798.7
"Anas_platyrhynchos","f",5.44,1200
"Anas_platyrhynchos","m",5.96445454545455,1286.36363636364
"Anas_rubripes","unknown",7.25,853
"Anhinga_anhinga","f",4.55,610
"Anhinga_anhinga","m",4.34,800
"Anisognathus_somptuosus","f",1.3,42.9
"Anodorhynchus_hyacinthinus","f",22.08,1390
"Anser_anser","f",11.913,5000
"Anser_anser","m",12.062,3966.66666666667
"Anthreptes_orientalis","f",0.5,8.2
"Anthus_berthelotii","f",0.46,15.75
"Anthus_berthelotii","m",0.55,16.1
"Anthus_pratensis","f",0.505,12.31
"Anthus_pratensis","m",0.49625,15.235
"Anthus_pratensis","unknown",0.535,13.55
"Anthus_trivialis","f",0.624,22.35
"Anthus_trivialis","m",0.553,19.23
"Aprosmictus_erythropterus","m",3.5682,125.672
"Aprosmictus_jonquillaceus","f",3.274,110.75
"Aprosmictus_jonquillaceus","m",3.553,141.16
"Apus_apus","f",0.657166666666667,39.99
"Apus_apus","m",0.6985,33.325
"Aquila_chrysaetos","unknown",18.6,5273.1
"Aquila_rapax","f",14.09,2625
"Aquila_rapax","m",13.765,2054
"Ara_ararauna","f",15.9,625
"Ara_ararauna","m",20.9,929
"Ara_chloropterus","m",20.374,1270
"Ara_glaucogularis","f",13.9645,650
"Aratinga_auricapillus","f",4.86,103.8
"Aratinga_pertinax","f",2.99,77.29
"Aratinga_solstitialis","f",4.041,103.05
"Arborophila_torqueola","f",1.629,184.51
"Arborophila_torqueola","m",2.033,217.3
"Ardea_cinerea","f",7.9642,1451
"Ardea_cinerea","m",8.15325,1430
"Ardea_herodias","m",8.85,1900
"Ardea_herodias","unknown",10.2,2055
"Ardeotis_kori","f",12.94,5540
"Ardeotis_kori","m",15.63,10000
"Argusianus_argus","m",5.591,1965
"Asio_flammeus","f",5.93,325.9
"Asio_flammeus","m",5.13483333333333,289.536666666667
"Asio_otus","f",5.5986393442623,294.57868852459
"Asio_otus","m",5.62171794871795,244.724615384615
"Asio_otus","unknown",5.252,252.64
"Athene_noctua","f",4.087,164.59
"Atlapetes_citrinellus","m",0.9,17.5
"Aythya_ferina","m",5.70957142857143,838.628571428571
"Aythya_fuligula","m",4.38325,786.75
"Aythya_marila","f",4.7859,787
"Aythya_nyroca","m",4.4655,331.525
"Aythya_sp.","m",5.569,956
"Balearica_pavonina","f",13.54,4071
"Balearica_pavonina","m",12.85,4825
"Bambusicola_fytchii","m",1.683,216.13
"Bambusicola_thoracicus","m",1.58,197
"Barnardius_zonarius","f",3.83366666666667,122.963333333333
"Barnardius_zonarius","m",4.02011111111111,117.706666666667
"Basilornis_galeatus","m",1.92,72.6
"Batis_molitor","f",0.33,13.25
"Bolborhynchus_lineola","f",1.85,56.9
"Bolborhynchus_lineola","m",1.8185,48.63
"Bolborhynchus_orbygnesius","f",1.77,34.3
"Bombycilla_garrulus","f",1.0485,64.2333333333333
"Bombycilla_garrulus","m",1.1635,60.035
"Bombycilla_japonica","f",0.992,44.855
"Bombycilla_japonica","m",0.958,39.5333333333333
"Bonasa_bonasia","f",1.926,397.14
"Bonasa_bonasia","m",1.835,383.872
"Bonasa_umbellus","f",2.7,299.3
"Botaurus_lentiginosus","unknown",4.775,403.75
"Brachypteryx_montana","m",0.692,15.49
"Brachyramphus_marmoratus","f",2.225,211.8
"Brachyramphus_marmoratus","m",2.29,182.18
"Branta_bernicla","f",6.069,980
"Branta_bernicla","m",6.10066666666667,1420
"Branta_leucopsis","f",6.6755,1855
"Branta_leucopsis","m",7.026,2240
"Branta_ruficollis","m",5.398,1060
"Brotogeris_chrysoptera","m",1.948,53.44
"Brotogeris_jugularis","unknown",1.92,37
"Brotogeris_pyrrhoptera","f",2.3,47.7
"Brotogeris_pyrrhoptera","m",3.801,52.18
"Brotogeris_versicolurus","f",2.353,57.47
"Brotogeris_versicolurus","m",2.328,66.39
"Bubo_bubo","f",16.1061666666667,2718
"Bubo_bubo","m",17.8935,2000
"Bubo_scandiaca","unknown",15.4,1049
"Bubo_virginianus","m",13.7,1177
"Bubo_virginianus","unknown",14.035,1092.25
"Bucanetes_githagineus","f",0.635,21.075
"Bucanetes_githagineus","m",0.608,17.23
"Bucephala_clangula","f",5.33,580
"Bucephala_clangula","m",5.9364,1095.8
"Bucorvus_cafer","m",28.925,2410
"Burhinus_oedicnemus","f",2.358,252.751
"Burhinus_oedicnemus","m",3.193,376.088
"Buteo_buteo","f",7.92096078431373,875.023529411765
"Buteo_buteo","m",7.93012195121951,679.637804878049
"Buteo_buteo","unknown",7.912,845
"Buteo_lagopus","f",8.89466666666667,820.333333333333
"Buteo_lagopus","m",8.549,865
"Buteo_lineatus","unknown",7.4,337
"Cacatua_alba","f",11.138,334.5
"Cacatua_goffiniana","m",8.7,249.7
"Cacatua_leadbeateri","f",7.985,254.51825
"Cacatua_leadbeateri","m",8.8652,337.9622
"Cacatua_moluccensis","m",15.5643333333333,769.3
"Cacatua_moluccensis","unknown",7,335
"Cacatua_roseicapilla","m",6.18533333333333,315.287666666667
"Cacatua_sulphurea","m",10.2386666666667,364.971666666667
"Cacatua_tenuirostris","f",9.114,490
"Calcarius_lapponicus","f",1,23.8
"Calidris_acuminata","f",0.862,65.496
"Calidris_alpina","f",0.867666666666667,40.8143333333333
"Calidris_alpina","m",0.8558,36.076
"Calidris_canutus","m",1.3,166
"Calidris_maritima","f",1.27,93.4
"Calidris_maritima","m",1.04,55.55
"Calidris_melanotos","m",0.988,82.4695
"Calidris_ptilocnemis","m",0.9335,67.468
"Callipepla_californica","f",1.142,110.811
"Callipepla_californica","m",1.12933333333333,133.246
"Callipepla_californica","unknown",1.36,126.9
"Callipepla_gambelii","f",1.03,156.5
"Callipepla_gambelii","m",1.28,168
"Callipepla_squamata","m",1.1155,147.2365
"Callipepla_squamata","unknown",1.5,99
"Callocephalon_fimbriatum","f",5.959,327.385
"Callonetta_leucophrys","f",2.6095,276.183
"Callonetta_leucophrys","m",3.0205,246.4635
"Calyptomena_viridis","m",1.32,53.7
"Calyptorhynchus_funereus","f",16.581,645
"Calyptorhynchus_funereus","m",15.844,720
"Caprimulgus_europaeus","m",0.7,83.3
"Cardinalis_cardinalis","f",1.45,43.5
"Cardinalis_cardinalis","m",1.3026,27.755
"Cardinalis_sinuatus","f",1.278,30.959
"Cardinalis_sinuatus","m",1.3145,21.9375
"Carduelis_ambigua","f",0.62,13.5
"Carduelis_ambigua","m",0.636,15.389
"Carduelis_cannabina","f",0.61125,18.7335
"Carduelis_cannabina","m",0.665071428571429,18.9455
"Carduelis_cannabina","unknown",0.69,16.8
"Carduelis_carduelis","f",0.556545454545455,13.714
"Carduelis_carduelis","m",0.593045454545455,15.9925909090909
"Carduelis_chloris","f",0.851833333333333,25.1423666666667
"Carduelis_chloris","m",0.869875,26.0726875
"Carduelis_cucullata","f",0.459,8.846
"Carduelis_cucullata","m",0.45925,10.383
"Carduelis_flammea","f",0.5575,12.2325
"Carduelis_flammea","m",0.550444444444444,12.6381111111111
"Carduelis_flammea","unknown",0.573,11.794
"Carduelis_flavirostris","f",0.365,9.148
"Carduelis_flavirostris","unknown",0.436,11.538
"Carduelis_magellanica","m",0.5395,15.4915
"Carduelis_sinica x Serinus canaria","unknown",0.547,17.547
"Carduelis_spinoides","f",0.607,16.674
"Carduelis_spinoides","m",0.489,19.581
"Carduelis_spinus","f",0.516,12.0804545454545
"Carduelis_spinus","m",0.549333333333333,12.9723333333333
"Carduelis_xanthogastra","m",0.442,13.737
"Carpodacus_mexicanus","m",0.718,19.53
"Carpodacus_nipalensis","m",0.794,17.739
"Carpodacus_purpureus","f",0.85,19.7
"Carpodacus_roseus","f",1.03,21.2
"Carpodacus_roseus","m",0.93225,21.755
"Carpodacus_trifasciatus","m",0.921,36.582
"Casmerodius_albus","f",6.12,1030
"Catamenia_analis","m",0.55,8.98
"Cathartes_aura","f",11.6,2381.4
"Cathartes_aura","m",9.3,494
"Cathartes_aura","unknown",10.325,1797.5
"Catreus_wallichi","m",4.741,1270
"Centropus_bengalensis","f",1.834,151.674
"Cepphus_columba","f",3.339,347.501
"Cepphus_grylle","f",3.10433333333333,422.921666666667
"Cepphus_grylle","m",3.243,419.493
"Cerorhinca_monocerata","f",4.384,535
"Certhia_brachydactyla","m",0.459,8.7005
"Certhia_familiaris","f",0.57,10.4
"Certhia_familiaris","m",0.45,8.8
"Certhia_familiaris","unknown",0.43,8.7
"Ceyx_pictus","f",0.32,7.7
"Chaimarrornis_leucocephalus","f",1,24.3
"Chalcophaps_indica","f",0.7,57.6
"Chalcophaps_indica","m",1.005,105.679333333333
"Chalcopsitta_atra","m",5.335,240.153
"Chalcopsitta_duivenbodei","m",5.28,181.3
"Chalcopsitta_sintillata","f",4.581,145.007
"Charadrius_alexandrinus","m",0.893,37.294
"Charadrius_dubius","f",0.732,41.522
"Charadrius_dubius","m",0.824,39.276
"Charadrius_leschenaultii","f",1.235,78.425
"Charadrius_semipalmatus","f",0.8025,36.1125
"Charadrius_vociferus","unknown",1.22,88
"Charmosyna_papou","f",2.97,71.5
"Chloropsis_cochinchinensis","f",0.89,22.6
"Chloropsis_cyanopogon","m",0.68,16.5
"Chloropsis_hardwickii","m",0.8,26.3
"Chloropsis_sp.","f",0.72,21.2
"Chrysolophus_amherstiae","m",3.62966666666667,743.666666666667
"Chrysolophus_pictus","f",3.136,342.334
"Chrysolophus_pictus","m",3.36666666666667,686.533333333333
"Ciconia_abdimii","m",7.3,950
"Ciconia_ciconia","f",15.78,3334
"Ciconia_ciconia","m",15.2653333333333,3253.33333333333
"Cinclidium_leucurum","m",0.6375,22.24
"Cinclus_cinclus","f",1.3895,54.625
"Cinclus_cinclus","m",0.92,72
"Cinnyricinclus_leucogaster","f",0.896,27.58
"Cinnyricinclus_leucogaster","m",0.904,33.986
"Circus_aeruginosus","f",5.347,335
"Circus_aeruginosus","m",5.786,542.5
"Cissa_chinensis","m",4.2,115.7
"Cissa_thalassina","f",3.5,86.6
"Clangula_hyemalis","m",4.5936,773.66
"Coccothraustes_coccothraustes","f",1.5678,55.5062
"Coccothraustes_coccothraustes","m",1.60824,54.06244
"Coccycolius_iris","f",1.324,30.52
"Coereba_flaveola","m",0.473333333333333,9.52
"Colaptes_campestris","m",3.67,182.4
"Colaptes_melanochloros","f",2.7,119.1
"Colibri_thalassinus","m",0.19,5.48
"Colinus_cristatus","f",1,122.7
"Colinus_virginianus","f",1.241,120.1
"Colinus_virginianus","m",1.1877,117.7971
"Colinus_virginianus","unknown",1.2,143.816666666667
"Colius_striatus","m",1.1475,53.525
"Columba_livia","f",2.285,247
"Columba_livia","m",2.351,272.435
"Columba_oenas","f",2.146,222.409
"Columba_oenas","m",2.266,340.261
"Columba_palumbus","f",2.3575,402.530333333333
"Columba_palumbus","m",2.486125,499.545125
"Columbina_cruziana","f",0.52,49.7
"Columbina_passerina","m",0.54,42.4
"Copsychus_malabaricus","m",0.765,24.2466666666667
"Copsychus_malabaricus","unknown",0.9,19.6
"Coracias_caudatus","f",2.65,83.5
"Coracias_caudatus","m",2.338,110.473
"Coracopsis_nigra","m",4.85,113.7
"Corvus_brachyrhynchos","f",6.199,255.2935
"Corvus_brachyrhynchos","m",9.3,337
"Corvus_brachyrhynchos","unknown",8.225,375.533333333333
"Corvus_corax","f",13.3933333333333,1136.66666666667
"Corvus_corax","m",15.8614,1393
"Corvus_corone","f",8.25676470588235,494.464705882353
"Corvus_corone","m",8.82216666666667,576.533333333333
"Corvus_frugilegus","f",7.488,481.029333333333
"Corvus_frugilegus","m",8.248,574.25
"Corvus_monedula","f",4.236125,189.685375
"Corvus_monedula","m",4.79085714285714,236.332
"Corvus_monedula","unknown",5.35,147
"Coryphospingus_cucullatus","f",0.602,14.887
"Coryphospingus_cucullatus","m",0.654,12.5315
"Corythaixoides_leucogaster","m",3.091,262.36
"Cossypha_niveicapilla","m",0.95,31.8
"Coturnix_chinensis","unknown",0.42,37
"Coturnix_coturnix","f",0.88,120.7
"Coturnix_delegorguei","f",0.62,62.363
"Crex_crex","f",1.154,137.396
"Crex_crex","m",1.26,133.8
"Crinifer_piscator","f",4.23,346.2
"Crossoptilon_crossoptilon","f",5.238,1820
"Crossoptilon_mantchuricum","f",5.164,1700
"Crotophaga_ani","f",1.458,73.095
"Cryptospiza_reichenovii","m",0.589333333333333,10.933
"Crypturellus_parvirostris","f",1.65,179.7
"Crypturellus_tataupa","m",1.25,215
"Cuculus_canorus","f",1.421,92.5295
"Cuculus_canorus","m",1.5,118.633333333333
"Cyanerpes_caeruleus","f",0.468,10.05
"Cyanerpes_caeruleus","m",0.48,9.4
"Cyanerpes_cyaneus","m",0.4445,10.605
"Cyanocitta_cristata","unknown",3,77.7
"Cyanocorax_beecheii","m",3.219,130.83
"Cyanocorax_luxuosus","unknown",2.4,52.25
"Cyanocorax_yncas","m",2.3795,56.0955
"Cyanoliseus_patagonus","f",7.5,226.3
"Cyanopica_cyanus","f",2.06,67.6
"Cyanoramphus_auriceps","m",2.865,49.775
"Cyanoramphus_novaezelandiae","m",2.86,65.4
"Cyclopsitta_diophthalma","m",1.939,36.337
"Cygnus_columbianus","f",17.75,6000
"Cygnus_columbianus","m",17.896,5000
"Cygnus_olor","m",15.432,9000
"Cygnus_olor","unknown",14.5,5528.25
"Cyornis_hainanus","m",0.68,29.8
"Dacelo_novaeguineae","f",4.3035,339.5
"Dacelo_novaeguineae","m",4.1005,374.837
"Dacelo_novaeguineae","unknown",4.47,210
"Dacnis_cayana","f",0.52,12.95
"Dacnis_cayana","m",0.39,13.3
"Delichon_urbicum","m",0.582,18.1206666666667
"Dendrocopos_macei","m",1.656,36.467
"Dendrocopos_major","f",2.62288888888889,83.4334444444444
"Dendrocopos_major","m",2.75986666666667,81.2194
"Dendrocopos_medius","m",1.79,56.062
"Dendrocygna_bicolor","m",4.737,487.5
"Dendroica_coronata","f",0.468,12.392
"Dendroica_coronata","m",0.498,12.472
"Deroptyus_accipitrinus","m",8.9,232.6
"Dicrurus_macrocercus","f",0.99,30.6
