"table","pop","sp","treat","plant","GAD","ASD","GSD","GA","UBW","UBL","LBL","LBW"
1,"PM","L","D","PM.W.1.21",4.08,4.23,2.86,2.72,11.15,11.57,11.84,11.31
1,"PM","L","D","PM.W.1.21",3.58,1.92,3.19,2.55,10.97,12.67,13.52,11.86
4,"PM","L","D","PM.W.1.22",4.99,4.8,2.99,3.38,13.04,12.43,13.65,13.35
4,"PM","L","D","PM.W.1.22",4.89,4.14,3.08,2.82,13.85,11.93,13.2,13.4
4,"PM","L","W","PM.W.1.22",6.1,4.87,5.48,4.14,25.04,23.93,26.15,25.1
4,"PM","L","W","PM.W.1.22",NA,NA,NA,NA,NA,NA,NA,NA
2,"PM","L","D","PM.W.1.23",NA,NA,NA,NA,NA,NA,NA,NA
2,"PM","L","D","PM.W.1.23",NA,NA,NA,NA,NA,NA,NA,NA
2,"PM","L","W","PM.W.1.23",5.62,2.61,5.24,3.97,22,19.15,20.65,21.65
2,"PM","L","W","PM.W.1.23",5.08,1.87,4.47,3.67,19.4,17.95,18.69,17.56
4,"PM","L","D","PM.W.1.24",5.74,3.3,3.38,3.7,20.59,17.48,19.32,21.24
4,"PM","L","D","PM.W.1.24",5.3,2.87,3.52,3.19,16.47,14.25,16.6,16.7
4,"PM","L","W","PM.W.1.24",6.36,3.53,5.09,4.28,24.62,23.93,26.03,25.41
4,"PM","L","W","PM.W.1.24",4.8,3.36,3.96,3.76,20.5,22.38,25.34,23.6
1,"PM","L","W","PM.W.1.25",NA,NA,NA,NA,NA,NA,NA,NA
1,"PM","L","W","PM.W.1.25",NA,NA,NA,NA,NA,NA,NA,NA
1,"PM","L","D","PM.W.1.25",5.64,2.4,4.62,3.76,19.8,18.11,20.74,21.05
1,"PM","L","D","PM.W.1.25",4.73,3.04,3.63,3.89,16.34,16.53,17.68,16.43
1,"PM","L","W","PM.W.1.26",6.67,1.17,6.12,4.6,25.4,23.45,25.06,24.33
1,"PM","L","W","PM.W.1.26",5.37,2.08,5.35,4.88,23.69,21.56,21.99,22.56
1,"PM","L","D","PM.W.1.26",5.23,3.64,4.03,3.44,18.72,16.46,17.76,17.54
1,"PM","L","D","PM.W.1.26",4.84,3.13,4.36,3.45,16.11,14.88,15.29,15.26
1,"T","L","W","51.W.1.00",4.31,3.52,3.31,3.41,20.42,19.4,22.74,21
1,"T","L","W","51.W.1.00",4.72,2.03,4.25,3.93,19.11,18.39,20.95,20.22
1,"T","L","D","51.W.1.00",4.25,2.44,3.89,3.18,15.12,13.12,14.86,15.26
1,"T","L","D","51.W.1.00",4.04,3.08,3.6,3.19,17.37,14.76,17.06,17.18
3,"T","L","W","51.W.1.01",4.26,2.52,4.85,3.68,21.23,19.13,19.52,20.94
3,"T","L","W","51.W.1.01",5.5,3.59,5.85,4.3,23.59,19.05,20.37,23.38
3,"T","L","D","51.W.1.01",4.08,2.34,4.29,3.71,16.6,12.81,15.75,16.97
3,"T","L","D","51.W.1.01",2.92,2.45,2.81,2.9,13.87,13.57,15.34,16.5
4,"T","L","D","51.W.1.02",4.16,3.32,3.69,3.51,14.83,12.88,13.23,13.83
4,"T","L","D","51.W.1.02",4.2,2.35,4.59,4.19,18.58,14.78,16.05,19.83
4,"T","L","W","51.W.1.02",5.93,2.43,5.81,4.87,24.93,16.69,22.5,26.83
4,"T","L","W","51.W.1.02",5.61,1.81,5.6,3.98,24.94,18.92,20.29,22.69
4,"T","L","D","51.W.1.03",5.33,2.96,6.35,4.67,25.43,20.4,22.02,25.71
4,"T","L","D","51.W.1.03",5.4,2.66,6.13,5.46,25.27,18.96,20.47,27.43
4,"T","L","W","51.W.1.03",5.48,3.32,7.48,5.78,29.71,21.92,24.96,30.03
4,"T","L","W","51.W.1.03",5.95,1.51,6.26,5.08,32.95,25.43,29.74,32.39
1,"T","L","W","51.W.1.04",5.33,2.76,5.88,4.75,27.09,22.03,26.43,26.86
1,"T","L","W","51.W.1.04",5.61,4.14,4.99,4.12,21.94,18.68,19.49,20.9
1,"T","L","D","51.W.1.04",4.65,2.24,4.12,3.45,18.87,15.19,17.63,19.5
1,"T","L","D","51.W.1.04",4.46,3.97,3.35,3.32,19.29,17.88,18.16,18.13
2,"T","L","D","51.W.1.05",4.51,1.91,4.73,3.8,20.66,15.94,18.74,20.91
2,"T","L","D","51.W.1.05",5.45,3.36,5.56,4.09,20.16,14.7,18.56,20.2
2,"T","L","W","51.W.1.05",5.08,3.67,6.15,3.01,22.08,19.68,22.6,24.26
2,"T","L","W","51.W.1.05",5.33,2.68,5.86,3.74,23,18.65,21.46,22.48
2,"T","L","D","51.W.1.06",5.11,3.25,4.98,4.06,20.67,17.33,19,19.9
2,"T","L","D","51.W.1.06",5.02,3.1,3.88,4.45,18.03,14.99,16.55,18.29
2,"T","L","W","51.W.1.06",5.63,3.02,5.14,3.53,21.8,19.43,23.89,23.41
2,"T","L","W","51.W.1.06",NA,NA,NA,NA,NA,NA,NA,NA
4,"T","L","D","51.W.1.07",4.96,4.16,5.18,4.17,21.61,17.32,18.47,22.27
4,"T","L","D","51.W.1.07",5,2.54,4.67,3.77,18.06,14.64,17.26,18.95
4,"T","L","W","51.W.1.07",5.41,3.83,5.7,4.81,23.44,18.74,22.97,25.88
4,"T","L","W","51.W.1.07",5.62,1.95,5.28,3.98,21.36,18.53,19.25,20.7
3,"T","L","W","51.W.1.08",5.13,2.9,5.5,4.09,22.66,19.87,22.22,23.18
3,"T","L","W","51.W.1.08",5,1.7,5.53,4.39,23.47,19.84,23.21,25.15
3,"T","L","D","51.W.1.08",5.14,4.08,3.94,3.9,17,14.6,15.35,15.02
3,"T","L","D","51.W.1.08",5.78,2.92,3.54,3.25,18.76,17.28,19.6,20.51
2,"T","L","D","51.W.1.09",4.05,2.75,4.09,3.21,17.45,17.3,20.77,18.83
2,"T","L","D","51.W.1.09",4.55,2.89,4.4,3.7,17.91,15.33,17.08,19.6
2,"T","L","W","51.W.1.09",5.31,2.56,4.23,3.58,20.51,18.99,21.18,20.77
2,"T","L","W","51.W.1.09",5.82,2.38,5.25,4.34,20.69,20.55,22.78,21.88
1,"T","L","W","51.W.1.10",4.7,1.29,5.61,4.21,21.64,19.71,22.9,22.65
1,"T","L","W","51.W.1.10",3.76,2.88,5.34,4.51,19.95,15.88,17.77,18.84
1,"T","L","D","51.W.1.10",3.92,1.54,3.81,4.02,17.6,14.81,16.26,17.67
1,"T","L","D","51.W.1.10",3.09,2.42,3,3.45,14.78,12.17,15.01,14.54
3,"T","L","W","51.W.1.11",4.6,3.1,5,3.68,18.37,14.63,16.33,17.51
3,"T","L","W","51.W.1.11",5.45,2.15,6.06,3.98,20.56,18.38,20.89,21.83
3,"T","L","D","51.W.1.11",4.69,2.6,3.78,3.77,14.44,13.11,14.55,15.63
3,"T","L","D","51.W.1.11",3.66,3.16,3.52,3.77,14.58,12.23,12.95,14.29
1,"T","L","W","51.W.1.12",5.46,3.52,5.33,6.03,23.17,16.45,20.28,21.51
1,"T","L","W","51.W.1.12",5.83,1.87,6.09,4.91,21.99,20.38,22.96,23.81
1,"T","L","D","51.W.1.12",5.45,3.64,4.13,3.25,19.99,18.29,20.91,20.49
1,"T","L","D","51.W.1.12",4.64,3.74,3.53,3.07,17.22,14.75,14,15.07
3,"T","L","W","51.W.1.13",5.33,0.93,4.93,4.49,21.32,17.25,18.93,20.92
3,"T","L","W","51.W.1.13",5.35,2.36,5.61,3.82,19,15.66,16.74,18.95
3,"T","L","D","51.W.1.13",1.65,1.42,2.92,3.48,14.75,10.94,13.28,14.11
3,"T","L","D","51.W.1.13",3.84,2.56,3.72,2.96,13.64,11.95,12.1,12.73
2,"T","L","D","51.W.1.14",2.42,1.99,3.8,3.35,15.56,12.87,14.4,16.68
2,"T","L","D","51.W.1.14",2.73,2.68,3.03,3.2,13.7,11.42,14.51,13.78
2,"T","L","W","51.W.1.14",4.77,3.26,5.46,3.65,21.59,20.57,20.79,21.99
2,"T","L","W","51.W.1.14",5.66,1.46,5.71,4.92,24.83,20.08,23.26,24.92
3,"T","L","W","51.W.1.15",5.48,1.93,6.39,4.58,25.44,19.51,22.77,24.63
3,"T","L","W","51.W.1.15",5.16,1.9,6.3,4.64,25.8,20.5,22.66,27.94
3,"T","L","D","51.W.1.15",4.83,2.73,3.75,3.26,18.04,15.07,17.67,19.93
3,"T","L","D","51.W.1.15",2.03,0.7,3.24,4,16.18,11.85,14.58,16.57
4,"T","L","D","51.W.1.16",4.09,2.44,4.03,3.73,18.92,14.64,16.36,19.52
4,"T","L","D","51.W.1.16",3.48,1.42,3.67,3.63,18.68,14.29,16.73,17.5
4,"T","L","W","51.W.1.16",5.17,3.3,4.3,4.79,21.23,17.79,18.58,20.36
4,"T","L","W","51.W.1.16",5.66,3.87,5.71,4.32,25.05,20.88,23.04,22.53
3,"T","L","W","51.W.1.17",4.55,3.47,5.2,3.87,20.64,20.33,23.07,22.45
3,"T","L","W","51.W.1.17",5.2,3.46,4.25,4.89,18.25,17.05,18.09,17.39
3,"T","L","D","51.W.1.17",2.02,2.14,3.19,3.44,15.58,14.28,16.64,16.97
3,"T","L","D","51.W.1.17",3.94,3.49,3.1,2.88,13.83,12.57,13.57,13.39
4,"T","L","D","51.W.1.18",5.25,2.99,5.91,4.02,24.21,18.48,21.14,22.55
4,"T","L","D","51.W.1.18",2.12,0,2,2.87,18.46,17.54,19.94,19.23
4,"T","L","W","51.W.1.18",4.83,3.24,5.15,3.72,22.22,17.23,20.77,23.57
4,"T","L","W","51.W.1.18",4.54,2.92,5.32,4.15,26.32,20.2,24.08,25.77
2,"T","L","D","51.W.1.19",4.96,3.33,4.1,4.04,15.52,12.67,14,15.22
2,"T","L","D","51.W.1.19",2.61,1.38,3.19,3.26,13.23,11.14,13.91,13.45
2,"T","L","W","51.W.1.19",4.66,2.3,4.6,3.37,19.99,18.4,20.5,19.15
2,"T","L","W","51.W.1.19",5.23,2.71,4.82,4.24,22.42,18.63,21.93,22.81
1,"T","L","W","51.W.1.20",5.11,2.45,6.53,5,26.55,19.96,24.21,27.89
1,"T","L","W","51.W.1.20",4.97,2.55,5.69,4.06,20.13,18.39,19.51,20.68
1,"T","L","D","51.W.1.20",5.1,3.36,4,3.18,21.3,18.53,21.43,24.56
1,"T","L","D","51.W.1.20",4.77,2.89,3.9,3.35,20.72,18.66,22.77,23.19
3,"T","L","W","51.W.1.21",4.3,2.16,6.12,4.83,21.08,16.85,20.98,23.95
3,"T","L","W","51.W.1.21",4.93,2.77,6.11,4.74,24.56,19.62,22.02,24.7
3,"T","L","D","51.W.1.21",4.12,2.99,3.01,2.56,17.1,16.23,18.96,19.28
3,"T","L","D","51.W.1.21",NA,NA,NA,NA,NA,NA,NA,NA
2,"T","L","D","51.W.1.22",4.72,2.18,5.14,4.42,20.08,15.54,18.66,21.22
2,"T","L","D","51.W.1.22",3.38,1.73,3.63,4.32,15.35,14.07,14.9,14.17
2,"T","L","W","51.W.1.22",NA,NA,4.95,4.17,25,20.22,22.51,24.3
2,"T","L","W","51.W.1.22",4.88,1.52,5.38,3.66,19.66,17.02,18.24,18.77
2,"T","L","D","51.W.1.23",3.9,3.43,4.8,4.08,20.13,16.86,18.53,21.84
2,"T","L","D","51.W.1.23",3.7,2.09,4.01,3.52,18.87,14,16,17.91
2,"T","L","W","51.W.1.23",4.86,3.88,6.05,4.44,25.33,21.26,21.98,24.91
2,"T","L","W","51.W.1.23",4.26,2.44,5.38,4.47,22.05,21.12,23.41,22.76
4,"T","L","D","51.W.1.24",5.03,2.97,5.02,4.47,19.8,16.24,16.74,18.91
4,"T","L","D","51.W.1.24",5.33,2.86,6.11,3.63,24.49,16.48,20.5,22.76
4,"T","L","W","51.W.1.24",4.82,2.13,4.88,3.12,21.6,18.05,20.62,22.75
4,"T","L","W","51.W.1.24",4.96,2.68,5.63,4.29,23.3,18.84,20.93,23.98
1,"T","L","W","51.W.1.25",4.68,2.65,5.35,4.89,21.71,17.51,19.35,20.92
1,"T","L","W","51.W.1.25",4.14,1.96,5.87,4.69,21.57,17.51,19.37,22.33
1,"T","L","D","51.W.1.25",4.31,2.31,3.82,3.33,16.88,13.88,15.7,16.49
1,"T","L","D","51.W.1.25",3.36,4,3.28,2.84,13.69,12.22,12.69,12.29
4,"T","L","D","51.W.1.26",4.11,3.66,3.92,3.78,16.59,11.15,12.78,15.14
4,"T","L","D","51.W.1.26",4.75,2.75,3.34,4.14,15.32,13.1,15.39,15.35
4,"T","L","W","51.W.1.26",5.11,1.72,5.11,4.87,24.76,15.79,21.38,24.19
4,"T","L","W","51.W.1.26",4.43,1.75,4.75,3.75,18.68,16.31,18.45,18.56
2,"V","S","D","V.W.1.00",3.28,0,3.62,2.6,12.22,11.47,11.87,12.49
2,"V","S","D","V.W.1.00",2,0,3.39,2.43,12.6,12.6,13.94,13.35
2,"V","S","W","V.W.1.00",3.28,0,5.11,3.2,22.36,19.17,19.78,22.25
2,"V","S","W","V.W.1.00",3.59,0,4.27,2.92,18.7,16.14,18.59,19.93
2,"V","S","D","V.W.1.01",NA,NA,NA,NA,NA,NA,NA,NA
2,"V","S","D","V.W.1.01",NA,NA,NA,NA,NA,NA,NA,NA
2,"V","S","W","V.W.1.01",3.78,0,4.37,2.75,21.77,17.6,19.43,21.57
2,"V","S","W","V.W.1.01",2.9,0,3.3,2.99,21.36,18.88,21.09,21.67
3,"V","S","W","V.W.1.02",3.35,0,4,3.67,21.63,20.78,22.48,24.14
3,"V","S","W","V.W.1.02",3.1,0,3.23,3.01,17.24,16.26,18.63,19.64
3,"V","S","D","V.W.1.02",NA,NA,NA,NA,NA,NA,NA,NA
3,"V","S","D","V.W.1.02",3.08,0,3.6,3.39,16.29,15.49,16.66,16.06
1,"V","S","W","V.W.1.04",2.51,0,5.11,3.41,25.68,22.91,25.45,28.12
1,"V","S","W","V.W.1.04",2.71,0,3.65,3.07,20.92,18.49,21.1,23.07
1,"V","S","D","V.W.1.04",2.82,0,3.13,2.66,15.71,14.42,13.83,16.08
1,"V","S","D","V.W.1.04",2.69,0,3.4,2.61,14.53,13.21,14.18,15.03
4,"V","S","D","V.W.1.05",3.27,0,2.79,2.7,15.09,14.8,15.93,16.24
4,"V","S","D","V.W.1.05",1.5,0.1,2.86,2.71,13.13,13.71,13.87,14.18
4,"V","S","W","V.W.1.05",2.68,0,3.6,2.53,20.15,16.81,18.15,22.24
4,"V","S","W","V.W.1.05",2.66,0,2.33,2.88,19.29,17.07,18.5,18.96
2,"V","S","D","V.W.1.06",NA,NA,NA,NA,NA,NA,NA,NA
2,"V","S","D","V.W.1.06",NA,NA,NA,NA,NA,NA,NA,NA
2,"V","S","W","V.W.1.06",2.68,0,3.62,3.51,22.01,20.21,21.05,21.3
2,"V","S","W","V.W.1.06",3.44,0,3.44,2.83,18.51,18.39,20.2,19.65
3,"V","S","W","V.W.1.07",3.32,0.37,3.97,3.35,20.28,17.88,19.63,21.93
3,"V","S","W","V.W.1.07",3.8,0,3.45,3.13,21.96,19.39,21.55,24.53
3,"V","S","D","V.W.1.07",2.68,0,3.65,2.61,19.94,17.81,18.91,22.47
3,"V","S","D","V.W.1.07",NA,NA,NA,NA,NA,NA,NA,NA
1,"V","S","W","V.W.1.08",3.17,0,4.35,3.1,19.57,18.54,18.8,20.12
1,"V","S","W","V.W.1.08",3.47,0,3.96,3.02,20.04,18.19,20.34,20.38
1,"V","S","D","V.W.1.08",2.66,0,3.04,2.01,11.06,10.02,10.86,11.28
1,"V","S","D","V.W.1.08",NA,NA,NA,NA,NA,NA,NA,NA
3,"V","S","W","V.W.1.09",3.26,0,4.54,3.08,18.76,18.87,20.93,19.95
3,"V","S","W","V.W.1.09",2.21,0.31,5.68,3.08,20.49,20.58,22.72,22.75
3,"V","S","D","V.W.1.09",2.79,0,3.71,2.27,14.41,13.65,14.1,14.74
3,"V","S","D","V.W.1.09",3.62,0,3.42,2.38,10.2,10.94,11.64,10.2
1,"V","S","W","V.W.1.10",3,0,3.99,3.27,22.27,23.53,25.44,24.86
1,"V","S","W","V.W.1.10",3.24,0,4.76,3.11,22.15,21.61,24.28,24.92
1,"V","S","D","V.W.1.10",NA,NA,NA,NA,NA,NA,NA,NA
1,"V","S","D","V.W.1.10",2.94,0,4.18,2.39,15.65,15.97,17.69,17.43
4,"V","S","D","V.W.1.11",2.26,0.23,2.97,2.56,13.7,13.91,14.06,13.42
4,"V","S","D","V.W.1.11",2.79,0,3.5,2.54,16.1,15.7,16.01,15.79
4,"V","S","W","V.W.1.11",2.91,0,3.29,3.05,21.46,20.15,20.73,21.33
4,"V","S","W","V.W.1.11",3.46,0.61,2.7,2.33,14.62,15.75,15.76,14.66
4,"V","S","D","V.W.1.12",3.33,0,4.23,2.68,17.78,17.85,20.01,17.97
4,"V","S","D","V.W.1.12",3.4,0.4,2.81,2.52,11.69,11.92,14.62,13.45
4,"V","S","W","V.W.1.12",3.78,0,3.82,2.8,21.92,21.76,21.95,22.79
4,"V","S","W","V.W.1.12",NA,NA,NA,NA,NA,NA,NA,NA
1,"V","S","W","V.W.1.13",3.67,0,5.15,3,21.13,20.95,23.43,23.42
1,"V","S","W","V.W.1.13",4.03,0,4.23,2.94,19.42,19.96,21.4,20.82
1,"V","S","D","V.W.1.13",3.28,0,4.18,2.91,16.74,17.2,17.77,17.27
1,"V","S","D","V.W.1.13",3.17,0,3.95,3.02,17.35,17.35,17.83,17.09
2,"V","S","D","V.W.1.14",3.23,0,4.13,2.88,17.71,17.71,18.89,17.44
2,"V","S","D","V.W.1.14",3.75,0,4.07,3.2,17.08,16.45,17.68,17.7
2,"V","S","W","V.W.1.14",3.44,0,3.54,2.94,21.3,19.42,20.9,20.74
2,"V","S","W","V.W.1.14",1,0,3.5,2.91,19.97,17.36,19.8,21.01
3,"V","S","W","V.W.1.15",2.94,0,2.94,3.15,18.02,17.9,19.89,18.91
3,"V","S","W","V.W.1.15",3.4,0.51,3.5,3.26,16.02,16.72,15.61,16.82
3,"V","S","D","V.W.1.15",NA,NA,NA,NA,NA,NA,NA,NA
3,"V","S","D","V.W.1.15",2.92,0,3.05,2.65,14.6,13.44,14.9,15.26
2,"V","S","D","V.W.1.16",2.33,0,2.8,3.14,16.21,16.31,16.27,16.48
2,"V","S","D","V.W.1.16",2.71,1.61,2.5,3.05,13.71,14.05,13.9,13.63
2,"V","S","W","V.W.1.16",NA,NA,NA,NA,NA,NA,NA,NA
2,"V","S","W","V.W.1.16",3.07,0,2.98,3.03,17.27,17.11,18.05,18
4,"V","S","D","V.W.1.17",2.69,0,3.49,2.77,14.95,16.27,15.7,17.28
4,"V","S","D","V.W.1.17",2.5,0,3.16,2.43,15.65,14.51,15.46,14.61
4,"V","S","W","V.W.1.17",2.15,0.32,3.8,2.83,18.64,15,16.28,18.85
4,"V","S","W","V.W.1.17",3.09,0,3.28,3.11,18.19,16.85,18.34,19.75
1,"V","S","W","V.W.1.18",2.91,0,3.41,3.38,20.57,19.39,21.83,23.87
1,"V","S","W","V.W.1.18",3.72,0,3.34,2.75,17,16.84,18.94,19.13
1,"V","S","D","V.W.1.18",NA,NA,NA,NA,NA,NA,NA,NA
1,"V","S","D","V.W.1.18",NA,NA,NA,NA,NA,NA,NA,NA
3,"V","S","W","V.W.1.19",NA,NA,NA,NA,NA,NA,NA,NA
3,"V","S","W","V.W.1.19",NA,NA,NA,NA,NA,NA,NA,NA
3,"V","S","D","V.W.1.19",3.21,0,3.07,2.81,13.9,12.95,14.36,16.17
3,"V","S","D","V.W.1.19",NA,NA,NA,NA,NA,NA,NA,NA
